2018-02-15 22:00:38,024 INFO  [Settings] - Settings loaded!
2018-02-15 22:00:38,146 INFO  [CommonSettings] - Settings loaded!
2018-02-15 22:00:38,341 INFO  [Version] - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
2018-02-15 22:00:38,353 INFO  [Version] - HHH000412: Hibernate Core {4.3.10.Final}
2018-02-15 22:00:38,357 INFO  [Environment] - HHH000206: hibernate.properties not found
2018-02-15 22:00:38,361 INFO  [Environment] - HHH000021: Bytecode provider name : javassist
2018-02-15 22:00:38,419 INFO  [Configuration] - HHH000043: Configuring from resource: /hibernate.cfg.xml
2018-02-15 22:00:38,420 INFO  [Configuration] - HHH000040: Configuration resource: /hibernate.cfg.xml
2018-02-15 22:00:38,526 INFO  [Configuration] - HHH000041: Configured SessionFactory: null
2018-02-15 22:00:38,942 INFO  [Reflections] - Reflections took 344 ms to scan 1 urls, producing 22 keys and 286 values 
2018-02-15 22:00:39,958 INFO  [Dialect] - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2018-02-15 22:00:40,735 INFO  [TransactionFactoryInitiator] - HHH000399: Using default transaction strategy (direct JDBC transactions)
2018-02-15 22:00:40,738 INFO  [ASTQueryTranslatorFactory] - HHH000397: Using ASTQueryTranslatorFactory
2018-02-15 22:00:40,761 WARN  [ConfigurationFactory] - No configuration found. Configuring ehcache from ehcache-failsafe.xml  found in the classpath: jar:file:/home/zoran/.m2/repository/net/sf/ehcache/ehcache-core/2.4.3/ehcache-core-2.4.3.jar!/ehcache-failsafe.xml
2018-02-15 22:00:40,802 INFO  [UpdateTimestampsCache] - HHH000250: Starting update timestamps cache at region: org.hibernate.cache.spi.UpdateTimestampsCache
2018-02-15 22:00:40,805 WARN  [AbstractEhcacheRegionFactory] - HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.spi.UpdateTimestampsCache]; using defaults.
2018-02-15 22:00:40,845 INFO  [StandardQueryCache] - HHH000248: Starting query cache at region: org.hibernate.cache.internal.StandardQueryCache
2018-02-15 22:00:40,846 WARN  [AbstractEhcacheRegionFactory] - HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.internal.StandardQueryCache]; using defaults.
2018-02-15 22:00:40,890 INFO  [Version] - HV000001: Hibernate Validator 5.1.3.Final
2018-02-15 22:00:42,460 INFO  [SchemaUpdate] - HHH000228: Running hbm2ddl schema update
2018-02-15 22:00:42,461 INFO  [SchemaUpdate] - HHH000102: Fetching database metadata
2018-02-15 22:00:42,470 INFO  [SchemaUpdate] - HHH000396: Updating schema
2018-02-15 22:00:42,506 INFO  [TableMetadata] - HHH000261: Table found: prosolo.activity1
2018-02-15 22:00:42,507 INFO  [TableMetadata] - HHH000037: Columns: [max_points, description, shared_secret, rubric, title, type, open_in_new_window, duration, score_calculation, id, text, link_name, result_type, student_can_see_other_responses, created, url_type, dtype, visible_for_unenrolled_students, version, created_by, url, difficulty, accept_grades, consumer_key, deleted, rubric_visibility, grading_mode, launch_url, student_can_edit_response]
2018-02-15 22:00:42,507 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_r28bfc9xvnj41036ky8xb7o98, fk_51vt5mwt287fcjsoap7vsm5e2]
2018-02-15 22:00:42,507 INFO  [TableMetadata] - HHH000126: Indexes: [fk_r28bfc9xvnj41036ky8xb7o98, fk_51vt5mwt287fcjsoap7vsm5e2, primary]
2018-02-15 22:00:42,514 INFO  [TableMetadata] - HHH000261: Table found: prosolo.activity1_captions
2018-02-15 22:00:42,515 INFO  [TableMetadata] - HHH000037: Columns: [activity1, captions]
2018-02-15 22:00:42,515 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_b1n7gy4nb3oplj5v8jhali4rs, fk_8gchebrsymmudflj24yo48n79]
2018-02-15 22:00:42,515 INFO  [TableMetadata] - HHH000126: Indexes: [uk_b1n7gy4nb3oplj5v8jhali4rs, primary]
2018-02-15 22:00:42,521 INFO  [TableMetadata] - HHH000261: Table found: prosolo.activity1_files
2018-02-15 22:00:42,521 INFO  [TableMetadata] - HHH000037: Columns: [activity1, files]
2018-02-15 22:00:42,521 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_h9l61ttwr60t42cj53buu3rm0, fk_m20elbr34b3oe5p86dcd773nl]
2018-02-15 22:00:42,521 INFO  [TableMetadata] - HHH000126: Indexes: [uk_h9l61ttwr60t42cj53buu3rm0, primary]
2018-02-15 22:00:42,531 INFO  [TableMetadata] - HHH000261: Table found: prosolo.activity1_links
2018-02-15 22:00:42,531 INFO  [TableMetadata] - HHH000037: Columns: [activity1, links]
2018-02-15 22:00:42,531 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_rhmeeesk0sdkg3qagjmf9lroj, fk_mpsbwvmwi7kc3a6sbcm8s9e5f]
2018-02-15 22:00:42,531 INFO  [TableMetadata] - HHH000126: Indexes: [uk_mpsbwvmwi7kc3a6sbcm8s9e5f, primary]
2018-02-15 22:00:42,536 INFO  [TableMetadata] - HHH000261: Table found: prosolo.activity1_tags
2018-02-15 22:00:42,537 INFO  [TableMetadata] - HHH000037: Columns: [activity1, tags]
2018-02-15 22:00:42,537 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_hynwy4o71nraccfi6lu06ggsc, fk_4lcw676ek48pd37v9kr0mymim]
2018-02-15 22:00:42,537 INFO  [TableMetadata] - HHH000126: Indexes: [fk_4lcw676ek48pd37v9kr0mymim, primary]
2018-02-15 22:00:42,543 INFO  [TableMetadata] - HHH000261: Table found: prosolo.activity_assessment
2018-02-15 22:00:42,544 INFO  [TableMetadata] - HHH000037: Columns: [deleted, activity, created, default_assessment, competence_assessment, grade, target_activity, description, id, title, type, points]
2018-02-15 22:00:42,544 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_19i7s0u1b1r3owi4fpfvj8lxq, fk_pqe8ab74gg1e45r1muu3l2f48, fk_8h8fnyxbc74ksc3qdhy48ic3t, fk_o3uai8md6l5ilpc98ynjnlks0]
2018-02-15 22:00:42,544 INFO  [TableMetadata] - HHH000126: Indexes: [uk_4fun3nw7pg23ttg8o57wd1n48, fk_19i7s0u1b1r3owi4fpfvj8lxq, fk_pqe8ab74gg1e45r1muu3l2f48, uk_ir3b4ua2jau1q2mlw3xhwr4s7, fk_o3uai8md6l5ilpc98ynjnlks0, primary]
2018-02-15 22:00:42,549 INFO  [TableMetadata] - HHH000261: Table found: prosolo.activity_discussion_message
2018-02-15 22:00:42,549 INFO  [TableMetadata] - HHH000037: Columns: [deleted, sender, created, description, id, discussion, title, updated, content]
2018-02-15 22:00:42,549 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_pc9oblcdq0wtaqumrpoghmym5, fk_gp4rjlpt100i22gadcrqsuyea]
2018-02-15 22:00:42,549 INFO  [TableMetadata] - HHH000126: Indexes: [fk_pc9oblcdq0wtaqumrpoghmym5, fk_gp4rjlpt100i22gadcrqsuyea, primary]
2018-02-15 22:00:42,558 INFO  [TableMetadata] - HHH000261: Table found: prosolo.activity_discussion_participant
2018-02-15 22:00:42,560 INFO  [TableMetadata] - HHH000037: Columns: [is_read, activity_discussion, deleted, created, description, id, title, participant]
2018-02-15 22:00:42,567 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_1aja12ermpd5n492qpm0wv51p, fk_klimyuls8rsoqt7v9ce5gqts9]
2018-02-15 22:00:42,567 INFO  [TableMetadata] - HHH000126: Indexes: [fk_1aja12ermpd5n492qpm0wv51p, fk_klimyuls8rsoqt7v9ce5gqts9, primary]
2018-02-15 22:00:42,573 INFO  [TableMetadata] - HHH000261: Table found: prosolo.activity_grade
2018-02-15 22:00:42,573 INFO  [TableMetadata] - HHH000037: Columns: [deleted, created, description, id, title, value]
2018-02-15 22:00:42,574 INFO  [TableMetadata] - HHH000108: Foreign keys: []
2018-02-15 22:00:42,574 INFO  [TableMetadata] - HHH000126: Indexes: [primary]
2018-02-15 22:00:42,580 INFO  [TableMetadata] - HHH000261: Table found: prosolo.activity_wall_settings
2018-02-15 22:00:42,580 INFO  [TableMetadata] - HHH000037: Columns: [course_id, chosen_filter, deleted, created, description, id, title]
2018-02-15 22:00:42,580 INFO  [TableMetadata] - HHH000108: Foreign keys: []
2018-02-15 22:00:42,580 INFO  [TableMetadata] - HHH000126: Indexes: [primary]
2018-02-15 22:00:42,585 INFO  [TableMetadata] - HHH000261: Table found: prosolo.annotation1
2018-02-15 22:00:42,585 INFO  [TableMetadata] - HHH000037: Columns: [deleted, annotated_resource_id, created, annotated_resource, description, maker, annotation_type, id, title]
2018-02-15 22:00:42,586 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_qg56tf64cpvwkc5p2q9bjoape]
2018-02-15 22:00:42,586 INFO  [TableMetadata] - HHH000126: Indexes: [fk_qg56tf64cpvwkc5p2q9bjoape, primary]
2018-02-15 22:00:42,597 INFO  [TableMetadata] - HHH000261: Table found: prosolo.announcement
2018-02-15 22:00:42,598 INFO  [TableMetadata] - HHH000037: Columns: [deleted, credential, created, description, id, title, announcement_text, created_by]
2018-02-15 22:00:42,598 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_5n0gf0pgl54yxksqbrpg49jwu, fk_i5ssis4ksi4j8jsbb9xga1odi]
2018-02-15 22:00:42,598 INFO  [TableMetadata] - HHH000126: Indexes: [fk_5n0gf0pgl54yxksqbrpg49jwu, fk_i5ssis4ksi4j8jsbb9xga1odi, primary]
2018-02-15 22:00:42,605 INFO  [TableMetadata] - HHH000261: Table found: prosolo.capability
2018-02-15 22:00:42,606 INFO  [TableMetadata] - HHH000037: Columns: [name, description, id]
2018-02-15 22:00:42,606 INFO  [TableMetadata] - HHH000108: Foreign keys: []
2018-02-15 22:00:42,606 INFO  [TableMetadata] - HHH000126: Indexes: [primary]
2018-02-15 22:00:42,610 INFO  [TableMetadata] - HHH000261: Table found: prosolo.capability_role
2018-02-15 22:00:42,610 INFO  [TableMetadata] - HHH000037: Columns: [capabilities, roles]
2018-02-15 22:00:42,610 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_1j72vl0nwsv55q41b6ydg0hhd, fk_bk8wqohsuock5hix7lnb84b0r]
2018-02-15 22:00:42,611 INFO  [TableMetadata] - HHH000126: Indexes: [fk_bk8wqohsuock5hix7lnb84b0r, primary]
2018-02-15 22:00:42,615 INFO  [TableMetadata] - HHH000261: Table found: prosolo.comment1
2018-02-15 22:00:42,616 INFO  [TableMetadata] - HHH000037: Columns: [parent_comment, commented_resource_id, like_count, created, resource_type, description, title, deleted, manager_comment, instructor, post_date, id, user]
2018-02-15 22:00:42,616 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_cnb1hy7io12vb2fbi1jdmyalw, fk_q7hjkgwtsss4hrk6dfs022823]
2018-02-15 22:00:42,616 INFO  [TableMetadata] - HHH000126: Indexes: [fk_cnb1hy7io12vb2fbi1jdmyalw, index_comment1_commented_resource_id_resource_type, primary, fk_q7hjkgwtsss4hrk6dfs022823]
2018-02-15 22:00:42,621 INFO  [TableMetadata] - HHH000261: Table found: prosolo.competence1
2018-02-15 22:00:42,621 INFO  [TableMetadata] - HHH000037: Columns: [student_allowed_to_add_activities, created, description, learning_stage, published, title, type, first_learning_stage_competence, version, created_by, duration, archived, deleted, date_published, original_version, organization, id, visible_to_all, learning_path_type]
